id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22121445,"""HomeySuite"" in Lisbon City Centre",102336875,Ricardo,Lisboa,Arroios,38.7322,-9.13387,Entire home/apt,75,2,22,2019-01-29,1.62,12,305
22121577,Yellow Apartmento with River View,106487240,Rita,Lisboa,So Vicente,38.72089,-9.12272,Entire home/apt,60,2,18,2018-11-19,1.67,8,360
22122818,"""HomeySuite"" Master in Cascais City Center",102336875,Ricardo,Cascais,Alcabideche,38.71391,-9.41853,Entire home/apt,120,2,9,2019-02-09,0.73,12,326
22123863,Apartamento  T2 Panteão Nacional,78574742,Telmo,Lisboa,So Vicente,38.71423,-9.12526,Entire home/apt,92,1,1,2018-05-28,0.11,10,0
22129426,Holiday apartment with 3 bedrooms on 100m² in Freiria,154027172,Pedro - NOVASOL,Torres Vedras,Freiria,39.02474,-9.31976,Entire home/apt,31,7,0,,,2,362
22133230,Stunning villa overlooking vineyard,16064949,Ann & James,Mafra,"Enxara do Bispo, Gradil e Vila Franca do Rosrio",38.97783,-9.28002,Entire home/apt,210,3,0,,,2,212
22133969,Sao Bento charming apartment w/ terrace,159865494,Joao,Lisboa,Misericrdia,38.71212,-9.15125,Entire home/apt,40,1,60,2019-02-12,5.57,3,268
22134104,Espaço Vitória,16491170,Arnaldo,Lisboa,Santa Maria Maior,38.71091,-9.13788,Entire home/apt,120,3,19,2018-11-05,1.75,1,199
22135255,Manor House near Beach,20552230,Maria,Cascais,Cascais e Estoril,38.70592,-9.3955,Entire home/apt,199,4,1,2018-07-10,0.14,3,350
22135699,Alfama - Central Location,32293705,António,Lisboa,So Vicente,38.71304,-9.12952,Entire home/apt,50,2,95,2019-02-10,6.90,4,281
